Text	Word	Rank
sutras	good	0
sutras	good	1
sutras	good	2
sutras	good	3
sutras	good	4
sutras	good	5
sutras	good	6
sutras	good	7
sutras	good	8
sutras	good	9
sutras	good	10
sutras	good	11
sutras	good	12
sutras	good	13
sutras	good	14
sutras	evil	0
sutras	evil	1
sutras	evil	2
sutras	evil	3
sutras	evil	4
sutras	evil	5
sutras	evil	6
sutras	evil	7
sutras	evil	8
sutras	evil	9
sutras	evil	10
sutras	evil	11
sutras	evil	12
sutras	evil	13
sutras	evil	14
vedas	good	0
vedas	good	1
vedas	good	2
vedas	good	3
vedas	good	4
vedas	good	5
vedas	good	6
vedas	good	7
vedas	good	8
vedas	good	9
vedas	good	10
vedas	good	11
vedas	good	12
vedas	good	13
vedas	good	14
vedas	evil	0
vedas	evil	1
vedas	evil	2
vedas	evil	3
vedas	evil	4
vedas	evil	5
vedas	evil	6
vedas	evil	7
vedas	evil	8
vedas	evil	9
vedas	evil	10
vedas	evil	11
vedas	evil	12
vedas	evil	13
vedas	evil	14
bible	good	0
bible	good	1
bible	good	2
bible	good	3
bible	good	4
bible	good	5
bible	good	6
bible	good	7
bible	good	8
bible	good	9
bible	good	10
bible	good	11
bible	good	12
bible	good	13
bible	good	14
bible	evil	0
bible	evil	1
bible	evil	2
bible	evil	3
bible	evil	4
bible	evil	5
bible	evil	6
bible	evil	7
bible	evil	8
bible	evil	9
bible	evil	10
bible	evil	11
bible	evil	12
bible	evil	13
bible	evil	14
tanakh	good	0
tanakh	good	1
tanakh	good	2
tanakh	good	3
tanakh	good	4
tanakh	good	5
tanakh	good	6
tanakh	good	7
tanakh	good	8
tanakh	good	9
tanakh	good	10
tanakh	good	11
tanakh	good	12
tanakh	good	13
tanakh	good	14
tanakh	evil	0
tanakh	evil	1
tanakh	evil	2
tanakh	evil	3
tanakh	evil	4
tanakh	evil	5
tanakh	evil	6
tanakh	evil	7
tanakh	evil	8
tanakh	evil	9
tanakh	evil	10
tanakh	evil	11
tanakh	evil	12
tanakh	evil	13
tanakh	evil	14
quran	good	0
quran	good	1
quran	good	2
quran	good	3
quran	good	4
quran	good	5
quran	good	6
quran	good	7
quran	good	8
quran	good	9
quran	good	10
quran	good	11
quran	good	12
quran	good	13
quran	good	14
quran	evil	0
quran	evil	1
quran	evil	2
quran	evil	3
quran	evil	4
quran	evil	5
quran	evil	6
quran	evil	7
quran	evil	8
quran	evil	9
quran	evil	10
quran	evil	11
quran	evil	12
quran	evil	13
quran	evil	14
