Text	Word	Rank
sutras	god	0
sutras	god	1
sutras	god	2
sutras	god	3
sutras	god	4
sutras	god	5
sutras	god	6
sutras	god	7
sutras	god	8
sutras	god	9
sutras	god	10
sutras	god	11
sutras	god	12
sutras	god	13
sutras	god	14
sutras	god	15
sutras	god	16
sutras	god	17
sutras	god	18
sutras	god	19
sutras	god	20
sutras	god	21
sutras	god	22
sutras	god	23
sutras	light	0
sutras	light	1
sutras	light	2
sutras	light	3
sutras	light	4
sutras	light	5
sutras	light	6
sutras	light	7
sutras	light	8
sutras	light	9
sutras	light	10
sutras	light	11
sutras	light	12
sutras	light	13
sutras	light	14
sutras	light	15
sutras	light	16
sutras	light	17
sutras	light	18
sutras	light	19
sutras	light	20
sutras	light	21
sutras	light	22
sutras	light	23
sutras	darkness	0
sutras	darkness	1
sutras	darkness	2
sutras	darkness	3
sutras	darkness	4
sutras	darkness	5
sutras	darkness	6
sutras	darkness	7
sutras	darkness	8
sutras	darkness	9
sutras	darkness	10
sutras	darkness	11
sutras	darkness	12
sutras	darkness	13
sutras	darkness	14
sutras	darkness	15
sutras	darkness	16
sutras	darkness	17
sutras	darkness	18
sutras	darkness	19
sutras	darkness	20
sutras	darkness	21
sutras	darkness	22
sutras	darkness	23
sutras	man	0
sutras	man	1
sutras	man	2
sutras	man	3
sutras	man	4
sutras	man	5
sutras	man	6
sutras	man	7
sutras	man	8
sutras	man	9
sutras	man	10
sutras	man	11
sutras	man	12
sutras	man	13
sutras	man	14
sutras	man	15
sutras	man	16
sutras	man	17
sutras	man	18
sutras	man	19
sutras	man	20
sutras	man	21
sutras	man	22
sutras	man	23
sutras	woman	0
sutras	woman	1
sutras	woman	2
sutras	woman	3
sutras	woman	4
sutras	woman	5
sutras	woman	6
sutras	woman	7
sutras	woman	8
sutras	woman	9
sutras	woman	10
sutras	woman	11
sutras	woman	12
sutras	woman	13
sutras	woman	14
sutras	woman	15
sutras	woman	16
sutras	woman	17
sutras	woman	18
sutras	woman	19
sutras	woman	20
sutras	woman	21
sutras	woman	22
sutras	woman	23
sutras	good	0
sutras	good	1
sutras	good	2
sutras	good	3
sutras	good	4
sutras	good	5
sutras	good	6
sutras	good	7
sutras	good	8
sutras	good	9
sutras	good	10
sutras	good	11
sutras	good	12
sutras	good	13
sutras	good	14
sutras	good	15
sutras	good	16
sutras	good	17
sutras	good	18
sutras	good	19
sutras	good	20
sutras	good	21
sutras	good	22
sutras	good	23
sutras	evil	0
sutras	evil	1
sutras	evil	2
sutras	evil	3
sutras	evil	4
sutras	evil	5
sutras	evil	6
sutras	evil	7
sutras	evil	8
sutras	evil	9
sutras	evil	10
sutras	evil	11
sutras	evil	12
sutras	evil	13
sutras	evil	14
sutras	evil	15
sutras	evil	16
sutras	evil	17
sutras	evil	18
sutras	evil	19
sutras	evil	20
sutras	evil	21
sutras	evil	22
sutras	evil	23
vedas	god	0
vedas	god	1
vedas	god	2
vedas	god	3
vedas	god	4
vedas	god	5
vedas	god	6
vedas	god	7
vedas	god	8
vedas	god	9
vedas	god	10
vedas	god	11
vedas	god	12
vedas	god	13
vedas	god	14
vedas	god	15
vedas	god	16
vedas	god	17
vedas	god	18
vedas	god	19
vedas	god	20
vedas	god	21
vedas	god	22
vedas	god	23
vedas	light	0
vedas	light	1
vedas	light	2
vedas	light	3
vedas	light	4
vedas	light	5
vedas	light	6
vedas	light	7
vedas	light	8
vedas	light	9
vedas	light	10
vedas	light	11
vedas	light	12
vedas	light	13
vedas	light	14
vedas	light	15
vedas	light	16
vedas	light	17
vedas	light	18
vedas	light	19
vedas	light	20
vedas	light	21
vedas	light	22
vedas	light	23
vedas	darkness	0
vedas	darkness	1
vedas	darkness	2
vedas	darkness	3
vedas	darkness	4
vedas	darkness	5
vedas	darkness	6
