Text	Word	Rank
sutras	god	0
sutras	god	1
sutras	god	2
sutras	god	3
sutras	god	4
sutras	god	5
sutras	god	6
sutras	god	7
sutras	god	8
sutras	god	9
sutras	god	10
sutras	god	11
sutras	god	12
sutras	god	13
sutras	god	14
sutras	gods	0
sutras	gods	1
sutras	gods	2
sutras	gods	3
sutras	gods	4
sutras	gods	5
sutras	gods	6
sutras	gods	7
sutras	gods	8
sutras	gods	9
sutras	gods	10
sutras	gods	11
sutras	gods	12
sutras	gods	13
sutras	gods	14
sutras	strength	0
sutras	strength	1
sutras	strength	2
sutras	strength	3
sutras	strength	4
sutras	strength	5
sutras	strength	6
sutras	strength	7
sutras	strength	8
sutras	strength	9
sutras	strength	10
sutras	strength	11
sutras	strength	12
sutras	strength	13
sutras	strength	14
sutras	light	0
sutras	light	1
sutras	light	2
sutras	light	3
sutras	light	4
sutras	light	5
sutras	light	6
sutras	light	7
sutras	light	8
sutras	light	9
sutras	light	10
sutras	light	11
sutras	light	12
sutras	light	13
sutras	light	14
sutras	darkness	0
sutras	darkness	1
sutras	darkness	2
sutras	darkness	3
sutras	darkness	4
sutras	darkness	5
sutras	darkness	6
sutras	darkness	7
sutras	darkness	8
sutras	darkness	9
sutras	darkness	10
sutras	darkness	11
sutras	darkness	12
sutras	darkness	13
sutras	darkness	14
sutras	man	0
sutras	man	1
sutras	man	2
sutras	man	3
sutras	man	4
sutras	man	5
sutras	man	6
sutras	man	7
sutras	man	8
sutras	man	9
sutras	man	10
sutras	man	11
sutras	man	12
sutras	man	13
sutras	man	14
sutras	woman	0
sutras	woman	1
sutras	woman	2
sutras	woman	3
sutras	woman	4
sutras	woman	5
sutras	woman	6
sutras	woman	7
sutras	woman	8
sutras	woman	9
sutras	woman	10
sutras	woman	11
sutras	woman	12
sutras	woman	13
sutras	woman	14
sutras	good	0
sutras	good	1
sutras	good	2
sutras	good	3
sutras	good	4
sutras	good	5
sutras	good	6
sutras	good	7
sutras	good	8
sutras	good	9
sutras	good	10
sutras	good	11
sutras	good	12
sutras	good	13
sutras	good	14
sutras	evil	0
sutras	evil	1
sutras	evil	2
sutras	evil	3
sutras	evil	4
sutras	evil	5
sutras	evil	6
sutras	evil	7
sutras	evil	8
sutras	evil	9
sutras	evil	10
sutras	evil	11
sutras	evil	12
sutras	evil	13
sutras	evil	14
sutras	earth	0
sutras	earth	1
sutras	earth	2
sutras	earth	3
sutras	earth	4
sutras	earth	5
sutras	earth	6
sutras	earth	7
sutras	earth	8
sutras	earth	9
sutras	earth	10
sutras	earth	11
sutras	earth	12
sutras	earth	13
sutras	earth	14
sutras	men	0
sutras	men	1
sutras	men	2
sutras	men	3
sutras	men	4
sutras	men	5
sutras	men	6
sutras	men	7
sutras	men	8
sutras	men	9
sutras	men	10
sutras	men	11
sutras	men	12
sutras	men	13
sutras	men	14
sutras	life	0
sutras	life	1
sutras	life	2
sutras	life	3
sutras	life	4
sutras	life	5
sutras	life	6
sutras	life	7
sutras	life	8
sutras	life	9
sutras	life	10
sutras	life	11
sutras	life	12
sutras	life	13
sutras	life	14
sutras	death	0
sutras	death	1
sutras	death	2
sutras	death	3
sutras	death	4
sutras	death	5
sutras	death	6
sutras	death	7
sutras	death	8
sutras	death	9
sutras	death	10
sutras	death	11
sutras	death	12
sutras	death	13
sutras	death	14
vedas	god	0
vedas	god	1
vedas	god	2
vedas	god	3
vedas	god	4
vedas	god	5
vedas	god	6
vedas	god	7
vedas	god	8
vedas	god	9
vedas	god	10
vedas	god	11
vedas	god	12
vedas	god	13
vedas	god	14
vedas	gods	0
vedas	gods	1
vedas	gods	2
vedas	gods	3
vedas	gods	4
vedas	gods	5
vedas	gods	6
vedas	gods	7
vedas	gods	8
vedas	gods	9
vedas	gods	10
vedas	gods	11
vedas	gods	12
